des,price_Brunei,des,price_Cambodia,des,price_Indonesia,des,price_Laos,des,price_Malaysia,des,price_Myanmar,des,price_Philippines,des,price_Singapore,des,price_Vietnam,des,price_Thailand
"Meal, Inexpensive Restaurant",120.29 ฿,"Meal, Inexpensive Restaurant",94.05 ฿,"Meal, Inexpensive Restaurant",56.42 ฿,"Meal, Inexpensive Restaurant",104.27 ฿,"Meal, Inexpensive Restaurant",77.39 ฿,"Meal, Inexpensive Restaurant",64.79 ฿,"Meal, Inexpensive Restaurant",94.53 ฿,"Meal, Inexpensive Restaurant",348.55 ฿,"Meal, Inexpensive Restaurant",71.04 ฿,"Meal, Inexpensive Restaurant",70.00 ฿
"Meal for 2 People, Mid-range Restaurant, Three-course",961.53 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",647.88 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",451.37 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",779.82 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",464.32 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",647.88 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",630.17 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course","1,923.06 ฿","Meal for 2 People, Mid-range Restaurant, Three-course",648.61 ฿,"Meal for 2 People, Mid-range Restaurant, Three-course",700.00 ฿
McMeal at McDonalds (or Equivalent Combo Meal),174.28 ฿,McMeal at McDonalds (or Equivalent Combo Meal),194.36 ฿,McMeal at McDonalds (or Equivalent Combo Meal),112.84 ฿,McMeal at McDonalds (or Equivalent Combo Meal),161.97 ฿,McMeal at McDonalds (or Equivalent Combo Meal),116.08 ฿,McMeal at McDonalds (or Equivalent Combo Meal),161.97 ฿,McMeal at McDonalds (or Equivalent Combo Meal),94.53 ฿,McMeal at McDonalds (or Equivalent Combo Meal),192.31 ฿,McMeal at McDonalds (or Equivalent Combo Meal),156.29 ฿,McMeal at McDonalds (or Equivalent Combo Meal),200.00 ฿
Domestic Non-Alcoholic Beer (0.5 liter draught),264.18 ฿,Domestic Beer (0.5 liter draught),32.39 ฿,Domestic Beer (0.5 liter draught),78.99 ฿,Domestic Beer (0.5 liter draught),38.87 ฿,Domestic Beer (0.5 liter draught),116.08 ฿,Domestic Beer (0.5 liter draught),40.42 ฿,Domestic Beer (0.5 liter draught),39.39 ฿,Domestic Beer (0.5 liter draught),240.38 ฿,Domestic Beer (0.5 liter draught),28.42 ฿,Domestic Beer (0.5 liter draught),70.00 ฿
Imported Non-Alcoholic Beer (0.33 liter bottle),162.14 ฿,Imported Beer (0.33 liter bottle),64.79 ฿,Imported Beer (0.33 liter bottle),112.84 ฿,Imported Beer (0.33 liter bottle),97.18 ฿,Imported Beer (0.33 liter bottle),123.82 ฿,Imported Beer (0.33 liter bottle),48.59 ฿,Imported Beer (0.33 liter bottle),63.02 ฿,Imported Beer (0.33 liter bottle),288.46 ฿,Imported Beer (0.33 liter bottle),56.83 ฿,Imported Beer (0.33 liter bottle),120.00 ฿
Cappuccino (regular),109.59 ฿,Cappuccino (regular),70.04 ฿,Cappuccino (regular),62.87 ฿,Cappuccino (regular),80.84 ฿,Cappuccino (regular),81.13 ฿,Cappuccino (regular),67.93 ฿,Cappuccino (regular),73.93 ฿,Cappuccino (regular),133.37 ฿,Cappuccino (regular),56.07 ฿,Cappuccino (regular),60.54 ฿
Coke/Pepsi (0.33 liter bottle),24.67 ฿,Coke/Pepsi (0.33 liter bottle),24.78 ฿,Coke/Pepsi (0.33 liter bottle),19.80 ฿,Coke/Pepsi (0.33 liter bottle),36.20 ฿,Coke/Pepsi (0.33 liter bottle),18.96 ฿,Coke/Pepsi (0.33 liter bottle),18.62 ฿,Coke/Pepsi (0.33 liter bottle),20.46 ฿,Coke/Pepsi (0.33 liter bottle),43.47 ฿,Coke/Pepsi (0.33 liter bottle),17.25 ฿,Coke/Pepsi (0.33 liter bottle),20.82 ฿
Water (0.33 liter bottle),18.88 ฿,Water (0.33 liter bottle),13.03 ฿,Water (0.33 liter bottle),9.71 ฿,Water (0.33 liter bottle),21.76 ฿,Water (0.33 liter bottle),10.85 ฿,Water (0.33 liter bottle),10.50 ฿,Water (0.33 liter bottle),12.51 ฿,Water (0.33 liter bottle),33.12 ฿,Water (0.33 liter bottle),10.14 ฿,Water (0.33 liter bottle),10.71 ฿
Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit,Markets,Edit
"Milk (regular), (1 liter)",48.49 ฿,"Milk (regular), (1 liter)",69.13 ฿,"Milk (regular), (1 liter)",42.09 ฿,"Milk (regular), (1 liter)",84.43 ฿,"Milk (regular), (1 liter)",51.45 ฿,"Milk (regular), (1 liter)",48.30 ฿,"Milk (regular), (1 liter)",55.42 ฿,"Milk (regular), (1 liter)",85.40 ฿,"Milk (regular), (1 liter)",48.54 ฿,"Milk (regular), (1 liter)",55.49 ฿
Loaf of Fresh White Bread (500g),45.98 ฿,Loaf of Fresh White Bread (500g),48.34 ฿,Loaf of Fresh White Bread (500g),37.50 ฿,Loaf of Fresh White Bread (500g),63.09 ฿,Loaf of Fresh White Bread (500g),26.07 ฿,Loaf of Fresh White Bread (500g),32.39 ฿,Loaf of Fresh White Bread (500g),38.35 ฿,Loaf of Fresh White Bread (500g),58.49 ฿,Loaf of Fresh White Bread (500g),28.28 ฿,Loaf of Fresh White Bread (500g),42.25 ฿
"Rice (white), (1kg)",41.08 ฿,"Rice (white), (1kg)",36.68 ฿,"Rice (white), (1kg)",28.82 ฿,"Rice (white), (1kg)",51.73 ฿,"Rice (white), (1kg)",32.55 ฿,"Rice (white), (1kg)",42.79 ฿,"Rice (white), (1kg)",31.70 ฿,"Rice (white), (1kg)",75.36 ฿,"Rice (white), (1kg)",28.86 ฿,"Rice (white), (1kg)",39.14 ฿
Eggs (regular) (12),62.98 ฿,Eggs (regular) (12),55.79 ฿,Eggs (regular) (12),50.09 ฿,Eggs (regular) (12),60.96 ฿,Eggs (regular) (12),45.67 ฿,Eggs (regular) (12),48.95 ฿,Eggs (regular) (12),56.48 ฿,Eggs (regular) (12),79.64 ฿,Eggs (regular) (12),47.40 ฿,Eggs (regular) (12),55.14 ฿
Local Cheese (1kg),211.56 ฿,Local Cheese (1kg),560.67 ฿,Local Cheese (1kg),255.97 ฿,Local Cheese (1kg),993.27 ฿,Local Cheese (1kg),361.99 ฿,Local Cheese (1kg),332.25 ฿,Local Cheese (1kg),208.46 ฿,Local Cheese (1kg),619.62 ฿,Local Cheese (1kg),413.26 ฿,Local Cheese (1kg),522.19 ฿
Chicken Fillets (1kg),164.76 ฿,Chicken Fillets (1kg),161.87 ฿,Chicken Fillets (1kg),105.82 ฿,Chicken Fillets (1kg),141.31 ฿,Chicken Fillets (1kg),117.54 ฿,Chicken Fillets (1kg),152.36 ฿,Chicken Fillets (1kg),129.22 ฿,Chicken Fillets (1kg),250.25 ฿,Chicken Fillets (1kg),112.50 ฿,Chicken Fillets (1kg),73.08 ฿
Beef Round (1kg) (or Equivalent Back Leg Red Meat),372.09 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),351.23 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),267.62 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),464.31 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),229.76 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),235.90 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),206.40 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),585.84 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),356.94 ฿,Beef Round (1kg) (or Equivalent Back Leg Red Meat),326.02 ฿
Apples (1kg),111.18 ฿,Apples (1kg),129.58 ฿,Apples (1kg),81.06 ฿,Apples (1kg),156.12 ฿,Apples (1kg),69.17 ฿,Apples (1kg),67.49 ฿,Apples (1kg),85.23 ฿,Apples (1kg),113.45 ฿,Apples (1kg),89.34 ฿,Apples (1kg),87.96 ฿
Banana (1kg),56.02 ฿,Banana (1kg),44.95 ฿,Banana (1kg),43.56 ฿,Banana (1kg),61.43 ฿,Banana (1kg),38.92 ฿,Banana (1kg),26.44 ฿,Banana (1kg),48.94 ฿,Banana (1kg),70.82 ฿,Banana (1kg),34.32 ฿,Banana (1kg),42.31 ฿
Oranges (1kg),94.89 ฿,Oranges (1kg),105.18 ฿,Oranges (1kg),57.43 ฿,Oranges (1kg),91.44 ฿,Oranges (1kg),69.82 ฿,Oranges (1kg),67.66 ฿,Oranges (1kg),81.03 ฿,Oranges (1kg),110.09 ฿,Oranges (1kg),51.65 ฿,Oranges (1kg),61.74 ฿
Tomato (1kg),91.39 ฿,Tomato (1kg),45.81 ฿,Tomato (1kg),33.31 ฿,Tomato (1kg),85.89 ฿,Tomato (1kg),37.68 ฿,Tomato (1kg),41.08 ฿,Tomato (1kg),45.75 ฿,Tomato (1kg),76.32 ฿,Tomato (1kg),31.22 ฿,Tomato (1kg),43.14 ฿
Potato (1kg),56.76 ฿,Potato (1kg),44.85 ฿,Potato (1kg),40.93 ฿,Potato (1kg),75.24 ฿,Potato (1kg),25.09 ฿,Potato (1kg),39.03 ฿,Potato (1kg),58.26 ฿,Potato (1kg),62.40 ฿,Potato (1kg),38.58 ฿,Potato (1kg),42.13 ฿
Onion (1kg),79.69 ฿,Onion (1kg),36.17 ฿,Onion (1kg),63.38 ฿,Onion (1kg),72.00 ฿,Onion (1kg),31.23 ฿,Onion (1kg),38.22 ฿,Onion (1kg),61.82 ฿,Onion (1kg),63.13 ฿,Onion (1kg),36.62 ฿,Onion (1kg),34.72 ฿
Lettuce (1 head),60.11 ฿,Lettuce (1 head),45.48 ฿,Lettuce (1 head),30.49 ฿,Lettuce (1 head),59.09 ฿,Lettuce (1 head),27.01 ฿,Lettuce (1 head),44.54 ฿,Lettuce (1 head),46.43 ฿,Lettuce (1 head),52.91 ฿,Lettuce (1 head),23.52 ฿,Lettuce (1 head),31.68 ฿
Water (1.5 liter bottle),25.53 ฿,Water (1.5 liter bottle),21.44 ฿,Water (1.5 liter bottle),14.71 ฿,Water (1.5 liter bottle),19.34 ฿,Water (1.5 liter bottle),17.52 ฿,Water (1.5 liter bottle),17.73 ฿,Water (1.5 liter bottle),24.68 ฿,Water (1.5 liter bottle),35.82 ฿,Water (1.5 liter bottle),16.58 ฿,Water (1.5 liter bottle),16.87 ฿
Bottle of Non-Alcoholic Wine (Mid-Range),48.08 ฿,Bottle of Wine (Mid-Range),323.94 ฿,Bottle of Wine (Mid-Range),677.05 ฿,Bottle of Wine (Mid-Range),388.73 ฿,Bottle of Wine (Mid-Range),541.71 ฿,Bottle of Wine (Mid-Range),453.52 ฿,Bottle of Wine (Mid-Range),252.07 ฿,Bottle of Wine (Mid-Range),721.15 ฿,Bottle of Wine (Mid-Range),284.16 ฿,Bottle of Wine (Mid-Range),570.00 ฿
Domestic Non-Alcoholic Beer (0.5 liter bottle),127.48 ฿,Domestic Beer (0.5 liter bottle),28.27 ฿,Domestic Beer (0.5 liter bottle),75.66 ฿,Domestic Beer (0.5 liter bottle),35.03 ฿,Domestic Beer (0.5 liter bottle),79.09 ฿,Domestic Beer (0.5 liter bottle),36.02 ฿,Domestic Beer (0.5 liter bottle),35.90 ฿,Domestic Beer (0.5 liter bottle),121.05 ฿,Domestic Beer (0.5 liter bottle),26.01 ฿,Domestic Beer (0.5 liter bottle),56.99 ฿
Imported Non-Alcoholic Beer (0.33 liter bottle),96.15 ฿,Imported Beer (0.33 liter bottle),66.95 ฿,Imported Beer (0.33 liter bottle),102.41 ฿,Imported Beer (0.33 liter bottle),65.02 ฿,Imported Beer (0.33 liter bottle),104.42 ฿,Imported Beer (0.33 liter bottle),54.69 ฿,Imported Beer (0.33 liter bottle),60.70 ฿,Imported Beer (0.33 liter bottle),140.31 ฿,Imported Beer (0.33 liter bottle),47.89 ฿,Imported Beer (0.33 liter bottle),92.03 ฿
Cigarettes 20 Pack (Marlboro),168.15 ฿,Cigarettes 20 Pack (Marlboro),48.59 ฿,Cigarettes 20 Pack (Marlboro),64.55 ฿,Cigarettes 20 Pack (Marlboro),77.24 ฿,Cigarettes 20 Pack (Marlboro),135.43 ฿,Cigarettes 20 Pack (Marlboro),48.59 ฿,Cigarettes 20 Pack (Marlboro),75.62 ฿,Cigarettes 20 Pack (Marlboro),336.54 ฿,Cigarettes 20 Pack (Marlboro),42.62 ฿,Cigarettes 20 Pack (Marlboro),140.00 ฿
Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit,Transportation,Edit
One-way Ticket (Local Transport),24.04 ฿,One-way Ticket (Local Transport),48.59 ฿,One-way Ticket (Local Transport),11.28 ฿,One-way Ticket (Local Transport),21.91 ฿,One-way Ticket (Local Transport),19.35 ฿,One-way Ticket (Local Transport),6.48 ฿,One-way Ticket (Local Transport),6.93 ฿,One-way Ticket (Local Transport),43.27 ฿,One-way Ticket (Local Transport),9.95 ฿,One-way Ticket (Local Transport),30.00 ฿
Monthly Pass (Regular Price),661.05 ฿,Monthly Pass (Regular Price),"1,214.78 ฿",Monthly Pass (Regular Price),451.37 ฿,Monthly Pass (Regular Price),192.58 ฿,Monthly Pass (Regular Price),773.87 ฿,Monthly Pass (Regular Price),337.27 ฿,Monthly Pass (Regular Price),323.85 ฿,Monthly Pass (Regular Price),"2,884.59 ฿",Monthly Pass (Regular Price),284.16 ฿,Monthly Pass (Regular Price),"1,200.00 ฿"
Taxi Start (Normal Tariff),108.17 ฿,Taxi Start (Normal Tariff),32.39 ฿,Taxi Start (Normal Tariff),16.93 ฿,Taxi Start (Normal Tariff),97.18 ฿,Taxi Start (Normal Tariff),30.95 ฿,Taxi Start (Normal Tariff),48.59 ฿,Taxi Start (Normal Tariff),25.21 ฿,Taxi Start (Normal Tariff),84.13 ฿,Taxi Start (Normal Tariff),15.63 ฿,Taxi Start (Normal Tariff),35.00 ฿
Taxi 1km (Normal Tariff),108.17 ฿,Taxi 1km (Normal Tariff),32.39 ฿,Taxi 1km (Normal Tariff),12.41 ฿,Taxi 1km (Normal Tariff),64.79 ฿,Taxi 1km (Normal Tariff),19.35 ฿,Taxi 1km (Normal Tariff),32.39 ฿,Taxi 1km (Normal Tariff),8.51 ฿,Taxi 1km (Normal Tariff),24.04 ฿,Taxi 1km (Normal Tariff),21.31 ฿,Taxi 1km (Normal Tariff),35.00 ฿
Taxi 1hour Waiting (Normal Tariff),360.57 ฿,Taxi 1hour Waiting (Normal Tariff),97.18 ฿,Taxi 1hour Waiting (Normal Tariff),101.56 ฿,Taxi 1hour Waiting (Normal Tariff),242.96 ฿,Taxi 1hour Waiting (Normal Tariff),154.77 ฿,Taxi 1hour Waiting (Normal Tariff),122.81 ฿,Taxi 1hour Waiting (Normal Tariff),75.62 ฿,Taxi 1hour Waiting (Normal Tariff),475.96 ฿,Taxi 1hour Waiting (Normal Tariff),67.49 ฿,Taxi 1hour Waiting (Normal Tariff),150.00 ฿
Gasoline (1 liter),12.84 ฿,Gasoline (1 liter),32.68 ฿,Gasoline (1 liter),22.11 ฿,Gasoline (1 liter),34.36 ฿,Gasoline (1 liter),15.96 ฿,Gasoline (1 liter),23.45 ฿,Gasoline (1 liter),34.97 ฿,Gasoline (1 liter),58.50 ฿,Gasoline (1 liter),30.11 ฿,Gasoline (1 liter),32.50 ฿
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"721,148.04 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,619,700.90 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,066,349.92 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,529,780.13 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,206,034.86 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"814,214.50 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"803,470.05 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"3,064,879.17 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,420,801.56 ฿",Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,200,000.00 ฿"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"675,421.79 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,337,410.17 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"915,030.63 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,129,322.77 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"942,735.46 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"709,105.05 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"696,176.12 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,697,230.14 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"1,169,218.28 ฿",Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"847,652.19 ฿"
